"index","artist","album","genre","type"
71,"Blue Swede","Hooked On a Feeling - Single","Rock","Download"
72,"Blues Image","Rhino Hi-Five_ Blues Image - EP","Rock","Download"
73,"Bob Dylan","Bob Dylan","Folk","Vinyl"
74,"Bob Dylan","Love And Theft","Folk","CD"
75,"Bob Dylan","Masked And Anonymous","Folk","CD"
76,"Bob Dylan","Modern Times","Folk","Download"
77,"Bob Dylan","Nashville Skyline","Folk","Vinyl"
78,"Bob Dylan","Planet Waves","Folk","Vinyl"
79,"Bob Dylan","Slow Train Coming [Remastered]","Folk","CD"
80,"Bob Dylan","Time Out Of Mind","Folk","CD"
81,"Bob Dylan","Time They Are A-Changin","Folk","Vinyl"
82,"Bob Dylan","World Gone Wrong","Folk","CD"
83,"Bob Dylan & The Band","I'm Not There [Disc 2]","Folk","CD"
84,"Bob Forrest","I'm Not There [Disc 2]","Folk","CD"
85,"Bob Forrest","Modern Folk and Blues Wednesday","Folk","Download"
86,"Bob Marley","Legend (Remastered)","Regae","Download"
87,"Bob Marley & The Wailers","Legend (Remastered)","Regae","Download"
88,"Bob Seger","Bob Seger Greatest Hits","Rock","CD"
89,"Bobby Darin","Mack the Knife","Rock","CD"
90,"Bobby Darin","Rock Masters_ Bobby Rydell","Rock","Download"
91,"Bobby Rydell","Rock Masters_ Bobby Rydell","Rock","Download"
92,"Bon Jovi","Slippery When Wet","Rock","Download"
93,"Booker T. & The MG's","The Best of Booker T & The MGs","Rock","Download"
94,"Booker T. Jones","Just a Friend [feat. Biz Markie, Matt Berninger, and Sharon Jones] - Single","Rock","Download"
95,"Boston","Boston_ Greatest Hits","Rock","Download"
96,"Boxcar Willie","The Definitive Collection of Boxcar Willie (Live)","Country","Download"
97,"Boz Scaggs","Boz Scaggs Cuts","Rock","Vinyl"
98,"Boz Scaggs","Bozz Scaggs Hits","Rock","Vinyl"
99,"Branford Marsalis","Renaissance","Jazz","Vinyl"
100,"Branford Marsalis","Romances For Saxophone","Jazz","Download"
101,"Branford Marsalis & Orpheus Chamber Orchestra","Creation","Jazz","Download"
102,"Brecker Bothers","Brecker Bothers","Jazz","Vinyl"
103,"Brecker Bothers","Dont Stop The Music","Jazz","Vinyl"
104,"Brecker Bothers","The Brecker Bothers","Jazz","Vinyl"
105,"Brecker Bothers","The Brecker Bros","Jazz","Vinyl"
106,"Brecker Bothers","The Brecker Bros_","Jazz","Vinyl"
107,"Brecker Bothers","The Brecker Brothers","Jazz","Vinyl"
108,"Brecker Bothers Band","Back To Back","Jazz","Vinyl"
109,"Brecker Bothers Band","The Brecker Bros","Jazz","Vinyl"
110,"Brecker Brothers","Back To Back","Jazz","Vinyl"
111,"Brecker Brothers","Dont Stop The Music","Jazz","Vinyl"
112,"Brecker Brothers","The Brecker Brothers","Jazz","Vinyl"
113,"Brecker Brothers Band","Brecker Bothers","Jazz","Vinyl"
114,"Brecker Brothers Band","Dont Stop The Music","Jazz","Vinyl"
115,"Brecker Brothers Band","The Brecker Bros_","Jazz","Vinyl"
116,"Brecker Brothers Band","The Brecker Brothers","Jazz","Vinyl"
117,"Brenda Lee","The Definitive Collection Brenda Lee","Country","CD"
118,"Brewer & Shipley","One Toke Over the Line","Rock","Download"
119,"Bruce Springsteen","Born In The USA","Rock","Vinyl"
120,"Bruce Springsteen","Born To Run","Rock","Vinyl"
121,"Bruce Springsteen","Nebraska","Rock","CD"
122,"Bruce Springsteen","Working On A Dream","Rock","Download"
123,"Buddy Holly","The Buddy Holly Collection","RockaBilly","Download"
124,"Buddy Tate","Jumping On the West Coast","Jazz","Download"
125,"Buffalo Springfield","Retrospective_ The Best of Buffalo Springfield","Rock","CD"
126,"Calexico & Charlotte Gainsbourg","I'm Not There [Disc 2]","Folk","CD"
127,"Canned Heat","The Best of Canned Heat","Rock","Download"
128,"Carl Perkins","Rock 'N' Roll Legend_ Carl Perkins","RockaBilly","Download"
129,"Carole King","Tapestry","Rock","CD"
130,"Cat Power","I'm Not There [Disc 1]","Folk","CD"
131,"Cat Stevens","Cat Stevens_ Greatest Hits","Rock","Download"
132,"Celtic Christmas","Celtic Christmas","Rock","CD"
133,"Chad & Jeremy","60's Jukebox Hits - Vol. 3","Rock","Download"
134,"Chad & Jeremy","The Sunshine Collection","Rock","Download"
135,"Chanel Campbell","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
136,"Charles Dutoit, Kyung Wha Chung & Philharmonia Orchestra","Saint-Saëns_ Danse Macabre","Rock","Download"
137,"Charlie Daniels Band","Charlie Daniels Band A Decade Of Hits","Rock","Download"
138,"Charlie Daniels Band","Nightrider","Country","Vinyl"
139,"Charlie Rich","Best of Charlie Rich","Country","Vinyl"
140,"Charlie Rich","Every Time You Touch Me","Country","Vinyl"
